OBJECTID,ORIGINL_RM,REPORT_NUM,REPORT_NAM,SCALE,DATE,MAPUNITNOM,MUNOM1,SOIL_CODE1,SOILNAME1,VARIANT1,PHASE1,CLASS1,EXTENT1,MUNOM2,SOIL_CODE2,SOILNAME2,VARIANT2,PHASE2,CLASS2,EXTENT2,MUNOM3,SOIL_CODE3,SOILNAME3,VARIANT3,PHASE3,CLASS3,EXTENT3,SLOPEP1,SLOPEP2,SLOPEP3,TOPO1,TOPO2,TOPO3,STONE1,STONE2,STONE3,EROSION1,EROSION2,EROSION3,SALINITY1,SALINITY2,SALINITY3,SLOPE_LEN1,SLOPE_LEN2,SLOPE_LEN3,LS_MEAN1,LS_MEAN2,LS_MEAN3,C_ERPOLY,C_AGRI,C_SLOPE,C_GEN,C_DRAIN,C_MAN,C_SALT,C_SOIL,C_SURFTEXT,ERCLS1,ERCLS2,ERCLS3,ERPOLY,ERSYMBOL,AGRI_CAP1,AGRI_CAP2,AGRI_CAP3,AGCAP_CLS1,AGCAP_CLS2,AGCAP_CLS3,AGCAP_GRP1,AGCAP_GRP2,AGCAP_GRP3,SOIL_FACT1,LANDSCAPE1,IRRIG_CLA1,GEN_RATIN1,SOIL_FACT2,LANDSCAPE2,IRRIG_CLA2,GEN_RATIN2,SOIL_FACT3,LANDSCAPE3,IRRIG_CLA3,GEN_RATIN3,SPUD_RTNG1,SPUD_RTNG2,SPUD_RTNG3,DRAINAGE1,DRAINAGE2,DRAINAGE3,SURFTEXT1,SURFTEXT2,SURFTEXT3,SURFTEXTM1,SURFTEXTM2,SURFTEXTM3,TEX_GROUP1,TEX_GROUP2,TEX_GROUP3,MANCON1,MANCON2,MANCON3,TOPSOIL1,TOPSOIL2,TOPSOIL3,SAND_GRAV1,SAND_GRAV2,SAND_GRAV3,ROADFILL1,ROADFILL2,ROADFILL3,BASMNT1,BASMNT2,BASMNT3,NO_BASMNT1,NO_BASMNT2,NO_BASMNT3,ROAD_ST1,ROAD_ST2,ROAD_ST3,TRENCHTYP1,TRENCHTYP2,TRENCHTYP3,AREA_TYPE1,AREA_TYPE2,AREA_TYPE3,COVER_MAT1,COVER_MAT2,COVER_MAT3,S_LAGOON1,S_LAGOON2,S_LAGOON3,SEP_FIELD1,SEP_FIELD2,SEP_FIELD3,PLAY_GRND1,PLAY_GRND2,PLAY_GRND3,PICNIC1,PICNIC2,PICNIC3,CAMP_AREA1,CAMP_AREA2,CAMP_AREA3,PATH1,PATH2,PATH3,SHAPE_Length,SHAPE_Area
111359,OAKLAND,7,Carberry,"1:126,720",2022/11/24 00:00:00+00,C,RAM/xbxx,RAM,Ramada,,,xbxx,70,CLN/xx1x,CLN,Clementi,,,xx1x,30,,,,,,,0,1.0,1.0,-9.0,b,x,,x,1,,x,x,,x,x,,3,3,-,0.42868,0.42868,0.0,23.0,21,21,22,23,20,21,31,22,M,L,N,M,M7-L3,1,1,,1,1,,,,,2k,A,2k A,Good,2kx,A,2kx A,Good,,,,,,,,W,W,,CL,CL,,,,,MF,MF,,No Constraints,No Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14421.6382203233,7418215.01247757
65585,Cornwallis,D97,Cornwallis,"1:20,000",2022/11/24 00:00:00+00,HMO/xxxx,HMO/xxxx,HMO,Hummerston,,,xxxx,100, , , ,,, ,0, , , ,,, ,0,-99.0,-99.0,-99.0,x,,,x,,,x,,,x,,,,,,-99.0,-99.0,-99.0,,23,-99,22,25,-99,21,21,24,,,,,,3MW,,,3,,,Group 2, , ,2mw,A,2mw A,Good,,, ,,,,,,3,,,I,,,LFS,,,,,,CO,,,,,,Ps,,,Pa,,,Fw,,,Pw,,,Fw,,,Fw,,,Vks,,,Vkg,,,Pq,,,Vkg,,,Fhg,,,Fsw,,,Fsw,,,Fsw,,,Fw,,,4067.53281700262,365662.991085136
40359,Dufferin,D60,"Dufferin, Grey, Roland, Thompson, Stanley","1:20,000",2022/11/24 00:00:00+00,KOT/ocxx,KOT/ocxx,KOT,Kronstal,,,ocxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,o,,,x,,,2.0,,,0.71777999,0.0,0.0,24.0,22,22,22,25,20,21,30,23,H,N,N,H,H10,2MT,,,2,,,Group 1,,,2w,Bt2,2w Bt2,Good,,,,,,,,,3,,,I,,,LVFS,,,,,,MC,,,No Constraints,,,Fb,,,Va,,,Fw,,,Pw,,,Fw,,,Fw,,,Pkw,,,Pkg,,,G,,,Pk,,,Fh,,,Ftw,,,Fw,,,Fw,,,Fw,,,2433.4790529022,316918.980266697
30458,Portage la Prairie,D20,West Portage - MacGregor,"1:20,000",2022/11/24 00:00:00+00,SKL7-LLTp3/xdxx-xxxx,SKL/xdxx,SKL,Skelding,,,xdxx,70,LLTp/xxxx,LLT,"Lelant, peaty",,p,xxxx,30,,,,,,,0,7.5,0.5,-9.0,d,x,,x,x,,x,x,,x,x,,1.0,1,,1.154,0.13386001,0.0,21.0,26,23,23,22,35,21,26,24,N,N,N,N,N7-N3,6M,6W,,6,6,,Group 4,Group 4,,3m,Ct2,3m Ct2,Fair,4w,A,4w A,Poor,,,,,4,5.0,,R,VP,,FS,M,,,,,CO,Om,,C T,CW,,Vb,Vw,,Fa,Vah,,G,Vw,,G,Vhw,,G,Vaw,,G,Vhw,,Vks,Vhw,,Vk,Vkw,,Pq,Vsw,,Vk,Vah,,Gg,Vhg,,Pmt,Vsw,,Pm,Vsw,,Fs,Vsw,,Ps,Vs,,4015.15983027491,458832.085543837
15896,Rockwood,D14,Winnipeg Region,"1:20,000",2022/11/24 00:00:00+00,Gh,GRH/xxxx,GRH,Garrioch,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,24,21,23,25,21,21,18,24,N,N,N,N,N10,4M,,,4,,,Group 2,,,3gm,A,3gm A,Fair,,,,,,,,,5,,,I,,,LS,,,,,,CO,,,C,,,Ps,,,Pax,,,Fw,,,Pw,,,Fw,,,Fw,,,Phw,,,Fwg,,,Fcs,,,Pk,,,Phk,,,Pq,,,Fsw,,,Fsw,,,Fw,,,2172.89196668227,276691.313276096
35242,South Norfolk,D74,South Norfolk,"1:20,000",2022/11/24 00:00:00+00,LLTp,LLTp/xxxx,LLT,"Lelant, peaty",,p,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,26,21,24,27,34,21,34,26,N,N,N,N,N10,6W,,,6,,,Group 4,,,4w,A,4w A,Poor,,,,,,,,,5,,,VP,,,M,,,,,,Om,,,CW,,,Vw,,,Vah,,,Vw,,,Vhw,,,Vaw,,,Vhw,,,Vhw,,,Vkw,,,Vsw,,,Vah,,,Vhg,,,Vsw,,,Vsw,,,Vsw,,,Vs,,,2465.07637951295,171070.083792692
40155,Dufferin,D60,"Dufferin, Grey, Roland, Thompson, Stanley","1:20,000",2022/11/24 00:00:00+00,NBG,NBG/xxxx,NBG,Neuenberg,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,22.0,21,21,22,25,20,21,31,23,L,N,N,L,L10,1,,,1,,,Group 1,,,2w,A,2w A,Good,,,,,,,,,3,,,I,,,VFSL,,,,,,ME,,,No Constraints,,,G,,,Va,,,Faw,,,Pw,,,Faw,,,Faw,,,Vks,,,Pk,,,G,,,Pk,,,Fhg,,,Fw,,,Fw,,,Fw,,,Fw,,,2393.89606713324,260989.467288092
76034,GRANDVIEW,9,Grandview,"1:126,720",2022/11/24 00:00:00+00,Gf,GFT/xc2x,GFT,Grifton,,,xc2x,80,SCL/xx1x,SCL,Sclater,,,xx1x,20,,,,,,,0,3.5,0.5,-9.0,c,x,,2,1,,x,x,,x,x,,3,3,-,1.11198,0.32788,0.0,25.0,23,22,23,23,20,21,51,23,S,M,N,S,S8-M2,3X,3X,,3,3,,,,,3d,Bt2,3d Bt2,Fair,3dw,A,3dw A,Fair,,,,,,,,W,I,,FSL,L,,,,,MC,ME,,No Constraints,No Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12936.1144033535,3034501.22094163
8962,Arthur,20,Boissevain-Melita,"1:40,000",2022/11/24 00:00:00+00,Wk:9-Tc:1/b,WKD/xbxx,WKD,Waskada,,,xbxx,90,TWC/xbxx,TWC,Two Creeks,,,xbxx,10,,,,,,,0,1.0,1.0,-9.0,b,b,,x,x,,x,x,,x,x,,4.0,4,,0.60624999,0.60624999,0.0,23.0,22,21,22,23,20,21,31,22,M,M,N,M,M9-M1,2X,2W,,2,2,,Group 1,Group 1,,2kx,A,2kx A,Good,3w,A,3w A,Fair,,,,,4,4,,W,I,,L,L,,,,,ME,ME,,No Constraints,No Constraints,,G,Fb,,Va,Va,,Fa,Faw,,Fa,Pw,,Fa,Faw,,Fa,Faw,,Fs,Pw,,G,Fw,,G,G,,Fak,Fak,,Pk,Phk,,G,Fw,,G,Fw,,G,Fw,,G,Fw,,10751.3684312316,1846593.86312244
6777,Louise,D83,Louise,"1:50,000",2022/11/24 00:00:00+00,DOT1/xcxx,DOT1/xcxx,DOT,"Dorset, shaly variant",1.0,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,1.0,,,0.45396,0.0,0.0,21.0,25,22,24,22,21,21,18,24,N,N,N,N,N10,5M,,,5,,,Group 3,,,4m,Bt2,4m Bt2,Poor,,,,,,,,,5,,,R,,,LS,,,,,,CO,,,C,,,Pbs,,,Pa,,,G,,,G,,,G,,,G,,,Vks,,,Vkg,,,Vcs,,,Vck,,,Gg,,,Pq,,,Fms,,,Fs,,,G,,,2913.64351918724,144792.027150872
